Frame,Value,Mean,Standard Deviation
4,0.385,0.096,0.167
5,0,0.077,0.154
6,0,0.064,0.143
7,0,0.055,0.135
8,0,0.048,0.127
9,0,0.043,0.121
10,0,0.038,0.116
11,0.885,0.115,0.267
12,0,0.106,0.258
13,0,0.098,0.249
14,0,0.091,0.241
15,0,0.085,0.234
16,0.656,0.12,0.266
17,0.861,0.164,0.311
18,0,0.155,0.305
19,0,0.147,0.299
20,0,0.139,0.293
21,0,0.133,0.287
22,0,0.127,0.282
23,0,0.121,0.277
24,0,0.116,0.272
25,0,0.111,0.268
26,0,0.107,0.263
27,0,0.103,0.259
28,0,0.1,0.255
29,0,0.096,0.252
1,0,0.0,0.0
2,0,0.0,0.0
3,0,0.0,0.0
